epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.49979,2.12246,3.77796,1.80695,0.00619,0.67407,0.10008,0.04584,1.44659,3.57845,1.27671,0.00018577,0.00018577,0.00018577
2,9.02512,1.72135,2.25797,1.39857,0.01336,0.88148,0.24377,0.10576,1.49044,3.06615,1.17979,0.00038201,0.00038201,0.00038201
3,11.993,1.57522,2.14013,1.36411,0.88943,0.14074,0.23303,0.11223,1.50541,2.85144,1.24683,0.000574289,0.000574289,0.000574289
4,14.8332,1.497,1.8605,1.3034,0.8125,0.12677,0.24012,0.11389,1.54743,2.68539,1.28313,0.000762607,0.000762607,0.000762607
5,17.5553,1.49395,1.62087,1.29975,0.772,0.23704,0.38923,0.16499,1.77232,2.46735,1.4514,0.000946964,0.000946964,0.000946964
6,20.2278,1.56086,1.64207,1.35474,0.8837,0.21481,0.36347,0.18398,1.52345,2.39505,1.30411,0.00112736,0.00112736,0.00112736
7,22.7997,1.47827,1.58525,1.35213,0.3889,0.3,0.43016,0.1948,1.78919,2.14101,1.51015,0.00130379,0.00130379,0.00130379
8,25.4592,1.52252,1.49252,1.34707,0.39341,0.45227,0.38587,0.14189,2.06334,1.95423,1.71685,0.00132997,0.00132997,0.00132997
9,28.0027,1.47821,1.51452,1.36297,0.80445,0.37407,0.38844,0.1929,1.80469,1.87077,1.54753,0.00131582,0.00131582,0.00131582
10,30.5874,1.41584,1.45438,1.28918,0.49541,0.41492,0.47732,0.24903,1.69027,2.58286,1.38213,0.00130168,0.00130168,0.00130168
11,33.2623,1.3596,1.28054,1.24599,0.49116,0.51481,0.52432,0.24898,1.92384,2.70376,1.51086,0.00128753,0.00128753,0.00128753
12,35.8865,1.32151,1.23806,1.2536,0.51921,0.57647,0.55623,0.23703,2.01797,1.49776,1.60749,0.00127338,0.00127338,0.00127338
13,38.3745,1.38024,1.23876,1.27307,0.59169,0.42445,0.48208,0.16734,2.33478,1.96439,1.84965,0.00125923,0.00125923,0.00125923
14,40.9019,1.30371,1.18499,1.23929,0.86109,0.46472,0.49197,0.20022,2.10763,1.44616,1.69305,0.00124509,0.00124509,0.00124509
15,43.469,1.27694,1.18934,1.21963,0.82024,0.47583,0.57127,0.32408,1.51224,1.23953,1.29073,0.00123094,0.00123094,0.00123094
16,46.0554,1.33727,1.20651,1.27976,0.91297,0.53809,0.57387,0.30743,1.62331,1.13763,1.36368,0.00121679,0.00121679,0.00121679
17,48.6272,1.24537,1.15316,1.19638,0.88841,0.57407,0.56159,0.26823,1.78337,1.16434,1.43328,0.00120265,0.00120265,0.00120265
18,51.1822,1.23166,1.07403,1.19311,0.46303,0.52408,0.51199,0.23093,1.9129,1.3785,1.63155,0.0011885,0.0011885,0.0011885
19,53.7454,1.2523,1.03731,1.21512,0.892,0.47037,0.53402,0.29378,1.67275,1.16944,1.45567,0.00117435,0.00117435,0.00117435
20,56.238,1.22446,1.13038,1.20343,0.89431,0.48383,0.56918,0.30823,1.64753,1.18136,1.42511,0.00116021,0.00116021,0.00116021
21,58.7229,1.21897,1.00279,1.20246,0.86267,0.52222,0.55018,0.25493,1.79139,1.20499,1.5129,0.00114606,0.00114606,0.00114606
22,61.2087,1.23568,1.00445,1.19198,0.88877,0.42963,0.48323,0.21241,1.93669,1.26799,1.60549,0.00113191,0.00113191,0.00113191
23,63.7496,1.18058,0.96419,1.16298,0.58826,0.54737,0.57696,0.27574,1.8168,1.00281,1.47429,0.00111776,0.00111776,0.00111776
24,66.2583,1.17588,0.94591,1.15814,0.89594,0.38529,0.49904,0.18985,2.0533,1.54526,1.70195,0.00110362,0.00110362,0.00110362
25,68.7686,1.17503,0.93659,1.15737,0.51251,0.46964,0.56173,0.24571,1.93068,1.34861,1.61,0.00108947,0.00108947,0.00108947
26,71.3528,1.14905,0.92777,1.14449,0.53233,0.54619,0.59811,0.2464,1.99918,1.06764,1.56775,0.00107532,0.00107532,0.00107532
27,73.8881,1.13686,0.89253,1.14426,0.54839,0.55926,0.56998,0.30435,1.61107,1.04862,1.34771,0.00106118,0.00106118,0.00106118
28,76.3815,1.09331,0.91991,1.13869,0.91216,0.554,0.61358,0.26196,1.95169,1.05795,1.58754,0.00104703,0.00104703,0.00104703
29,78.8699,1.09068,0.89228,1.13783,0.89278,0.50741,0.58084,0.23323,2.05392,1.08776,1.67771,0.00103288,0.00103288,0.00103288
30,81.3828,1.04751,0.80664,1.097,0.88755,0.56048,0.58917,0.33129,1.5736,1.02456,1.32846,0.00101873,0.00101873,0.00101873
31,83.9234,1.02293,0.84511,1.13032,0.83768,0.56475,0.58034,0.30673,1.66539,1.05139,1.42309,0.00100459,0.00100459,0.00100459
32,86.4918,1.08293,0.8509,1.11331,0.52049,0.55556,0.58106,0.33843,1.48999,1.01126,1.31956,0.00099044,0.00099044,0.00099044
33,89.0332,1.02284,1.43872,1.0485,0.87231,0.57995,0.58178,0.31448,1.55066,0.96045,1.37266,0.000976293,0.000976293,0.000976293
34,91.5754,1.10684,0.8706,1.12889,0.89583,0.58899,0.58939,0.33861,1.464,0.94837,1.26649,0.000962146,0.000962146,0.000962146
35,94.122,1.1007,0.86634,1.12903,0.91804,0.57991,0.60538,0.33882,1.55685,0.98096,1.33292,0.000947999,0.000947999,0.000947999
36,96.7005,1.03339,0.79925,1.11073,0.96135,0.54074,0.59492,0.40333,1.25624,0.86518,1.20201,0.000933851,0.000933851,0.000933851
37,99.2624,1.07614,0.79878,1.10931,0.95844,0.53791,0.61616,0.38565,1.3284,0.85976,1.22003,0.000919704,0.000919704,0.000919704
38,101.833,1.03421,0.78159,1.08883,0.95686,0.5632,0.61483,0.35503,1.39604,0.82671,1.28067,0.000905557,0.000905557,0.000905557
39,104.373,1.02185,0.7579,1.08462,0.57905,0.56478,0.60165,0.27533,1.85238,1.01044,1.58674,0.00089141,0.00089141,0.00089141
40,106.924,1.02209,0.78763,1.10267,0.59734,0.55467,0.61706,0.29158,1.7778,0.9442,1.52229,0.000877263,0.000877263,0.000877263
41,109.466,1.01747,0.75523,1.08433,0.92915,0.58148,0.62667,0.317,1.65844,0.89453,1.43195,0.000863116,0.000863116,0.000863116
42,111.97,1.00873,0.77685,1.09113,0.92056,0.61166,0.6276,0.33558,1.55123,0.82008,1.35959,0.000848969,0.000848969,0.000848969
43,114.533,1.01263,0.7524,1.09881,0.94459,0.5146,0.58671,0.2505,1.88075,0.99402,1.60809,0.000834822,0.000834822,0.000834822
44,117.017,1.06217,0.73809,1.12059,0.83764,0.60741,0.57468,0.34203,1.42955,0.9835,1.29602,0.000820675,0.000820675,0.000820675
45,119.525,1.00217,0.76471,1.08801,0.53065,0.53786,0.56362,0.23622,1.96446,1.146,1.63614,0.000806528,0.000806528,0.000806528
46,122.039,1.02035,0.74148,1.0861,0.52088,0.60607,0.61762,0.30715,1.65869,0.89095,1.45388,0.00079238,0.00079238,0.00079238
47,124.542,0.95365,0.67653,1.05167,0.91873,0.58873,0.6177,0.24753,2.02674,0.95601,1.73185,0.000778233,0.000778233,0.000778233
48,127.045,0.9498,0.67713,1.05397,0.92004,0.60291,0.61046,0.35366,1.50645,0.84692,1.35996,0.000764086,0.000764086,0.000764086
49,129.595,0.98996,0.7086,1.06244,0.94004,0.59259,0.62238,0.3049,1.77299,0.8519,1.50373,0.000749939,0.000749939,0.000749939
50,132.143,0.97128,0.68148,1.05639,0.59503,0.58148,0.6123,0.2926,1.71592,0.89457,1.51511,0.000735792,0.000735792,0.000735792
