epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,163.751,0.85202,0.61575,1.03799,0.61384,0.57841,0.62256,0.32219,1.66804,0.76579,1.44637,0.000580174,0.000580174,0.000580174
62,166.354,0.88669,0.61983,1.00584,0.93103,0.57407,0.59388,0.29903,1.75423,0.86519,1.53229,0.000566027,0.000566027,0.000566027
63,168.92,0.83221,0.59973,0.99771,0.94032,0.55556,0.59006,0.31306,1.62036,0.85786,1.41426,0.00055188,0.00055188,0.00055188
64,171.492,0.84021,0.6052,0.99479,0.87763,0.58148,0.59212,0.37331,1.3139,0.77375,1.2405,0.000537733,0.000537733,0.000537733
65,173.996,0.85217,0.61039,1.02346,0.90525,0.58148,0.60137,0.37929,1.38265,0.7693,1.26458,0.000523586,0.000523586,0.000523586
66,176.525,0.83631,0.6088,1.01871,0.92932,0.54716,0.59953,0.32157,1.68731,0.88034,1.45548,0.000509438,0.000509438,0.000509438
67,178.998,0.83736,0.58824,1.01461,0.92831,0.55905,0.6044,0.30725,1.78122,0.86538,1.51626,0.000495291,0.000495291,0.000495291
68,181.576,0.90038,0.63641,1.02963,0.90282,0.59259,0.62266,0.27636,2.03168,0.89424,1.7148,0.000481144,0.000481144,0.000481144
69,184.157,0.86449,0.59578,1.03613,0.95017,0.57706,0.63073,0.27403,2.05023,0.89289,1.74379,0.000466997,0.000466997,0.000466997
70,186.809,0.87289,0.60157,1.01786,0.94905,0.59597,0.62436,0.344,1.60914,0.77537,1.4137,0.00045285,0.00045285,0.00045285
71,189.404,0.88884,0.69116,1.03449,0.94682,0.56689,0.62866,0.35251,1.52273,0.74746,1.35597,0.000438703,0.000438703,0.000438703
72,191.993,0.84803,0.596,1.01788,0.95108,0.58889,0.61859,0.37255,1.47471,0.75046,1.30171,0.000424556,0.000424556,0.000424556
73,194.525,0.83779,0.60217,1.00656,0.9511,0.57037,0.61176,0.37642,1.47337,0.75252,1.28969,0.000410409,0.000410409,0.000410409
74,197.073,0.78774,0.54021,0.97456,0.95812,0.57037,0.61349,0.35954,1.49876,0.7674,1.30886,0.000396262,0.000396262,0.000396262
75,199.624,0.82084,0.57248,0.99294,0.9644,0.56851,0.61552,0.36062,1.44609,0.73718,1.29089,0.000382115,0.000382115,0.000382115
76,202.155,0.76483,0.53986,0.96743,0.97733,0.58037,0.62299,0.364,1.47844,0.72468,1.33107,0.000367967,0.000367967,0.000367967
77,204.637,0.76073,0.53448,0.98848,0.97464,0.58367,0.63593,0.34107,1.60725,0.72712,1.40891,0.00035382,0.00035382,0.00035382
78,207.164,0.79818,0.5614,0.9715,0.97291,0.60261,0.63541,0.34141,1.59807,0.71623,1.39489,0.000339673,0.000339673,0.000339673
79,209.678,0.76015,0.58438,1.00102,0.96922,0.55411,0.62427,0.31109,1.76329,0.83058,1.51568,0.000325526,0.000325526,0.000325526
80,212.209,0.7468,0.54252,0.97241,0.90871,0.60595,0.62512,0.33229,1.68487,0.81042,1.45578,0.000311379,0.000311379,0.000311379
81,214.716,0.74043,0.52757,0.96891,0.91952,0.61244,0.62428,0.35971,1.54982,0.78216,1.38285,0.000297232,0.000297232,0.000297232
82,217.356,0.7187,0.50614,0.94799,0.93887,0.57407,0.61517,0.31053,1.79978,0.86188,1.56887,0.000283085,0.000283085,0.000283085
83,219.96,0.74522,0.52057,0.96364,0.92569,0.58592,0.60995,0.35202,1.57887,0.80788,1.39914,0.000268938,0.000268938,0.000268938
84,222.586,0.76135,0.54746,0.96098,0.91184,0.57798,0.60758,0.34715,1.56313,0.79619,1.37504,0.000254791,0.000254791,0.000254791
85,225.281,0.73766,0.59821,0.99495,0.95405,0.55102,0.61442,0.33236,1.63726,0.81824,1.42668,0.000240644,0.000240644,0.000240644
86,228.057,0.72683,0.51848,0.96609,0.93475,0.58148,0.61569,0.35916,1.55913,0.80209,1.39002,0.000226497,0.000226497,0.000226497
87,230.674,0.74124,0.52665,0.97014,0.96112,0.57407,0.6238,0.34842,1.59974,0.79226,1.4207,0.000212349,0.000212349,0.000212349
88,233.219,0.70093,0.49838,0.94273,0.97082,0.57583,0.62302,0.35665,1.54469,0.77343,1.38394,0.000198202,0.000198202,0.000198202
89,235.784,0.69527,0.47405,0.94097,0.96639,0.57937,0.62326,0.33961,1.61068,0.79225,1.42558,0.000184055,0.000184055,0.000184055
90,238.41,0.70819,0.51171,0.95965,0.96797,0.57868,0.62544,0.35202,1.54566,0.76806,1.38905,0.000169908,0.000169908,0.000169908
91,280.133,0.69774,0.49972,0.96587,0.96625,0.57407,0.62538,0.33471,1.5874,0.77868,1.41571,0.000155761,0.000155761,0.000155761
92,283.047,0.6673,0.45748,0.93272,0.95042,0.58691,0.62848,0.35282,1.52648,0.77029,1.37592,0.000141614,0.000141614,0.000141614
93,285.796,0.63873,0.43867,0.90679,0.92333,0.61111,0.62891,0.36653,1.46383,0.78289,1.3311,0.000127467,0.000127467,0.000127467
94,288.436,0.66823,0.44628,0.9214,0.92628,0.60239,0.62546,0.36159,1.50848,0.80414,1.36794,0.00011332,0.00011332,0.00011332
95,291.006,0.65111,0.45148,0.93074,0.9101,0.61111,0.62452,0.33736,1.56696,0.82257,1.40463,9.91726e-05,9.91726e-05,9.91726e-05
96,293.609,0.6255,0.43278,0.91214,0.90973,0.61111,0.62508,0.36002,1.49309,0.78501,1.35639,8.50255e-05,8.50255e-05,8.50255e-05
97,296.178,0.66742,0.45364,0.96395,0.92152,0.61111,0.63027,0.37436,1.40747,0.7571,1.30552,7.08784e-05,7.08784e-05,7.08784e-05
98,298.767,0.59476,0.4097,0.89845,0.92977,0.61111,0.63422,0.37214,1.44478,0.76424,1.3291,5.67313e-05,5.67313e-05,5.67313e-05
99,301.335,0.61235,0.44439,0.92699,0.95163,0.58868,0.6371,0.35954,1.52061,0.77674,1.38031,4.25842e-05,4.25842e-05,4.25842e-05
100,303.917,0.63347,0.42784,0.92578,0.9365,0.60707,0.63768,0.35563,1.54451,0.79404,1.39808,2.84371e-05,2.84371e-05,2.84371e-05
