epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87523,2.12246,3.77796,1.80695,0.00619,0.67407,0.10008,0.04584,1.44659,3.57845,1.27671,0.00018577,0.00018577,0.00018577
2,11.9275,1.71923,2.28159,1.39838,0.01364,0.87037,0.23454,0.10269,1.4849,3.12196,1.1838,0.000258506,0.000258506,0.000258506
3,15.0034,1.57021,2.0692,1.34235,0.01484,0.95926,0.24722,0.13168,1.42389,2.95422,1.12127,0.000199203,0.000199203,0.000199203
